동영상 제목,게시일,영상 좋아요 수,댓글,작성자,댓글 작성일,댓글 좋아요 수
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,"심씨하고
똑같다",jung geun kim,2023-10-09T14:28:44Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,정의당에 남은 채무감이 없다!,JK,2023-10-09T10:21:53Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,"맞다
범죄혐의자가 공천한 후보도 사퇴해야 한다",권묵 윤,2023-10-09T08:59:54Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,"정의당도 정신차려야 한다.
심상정 부터 교채해라",김기원,2023-10-09T05:15:52Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,빨갱이년입으루똥싸구있네,michael park,2023-10-09T03:44:20Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,"김태우가 범죄자면,
이재명은 조폭두목 
범죄자네.",업 허,2023-10-09T00:16:41Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,사라져야할  국짐2중대  정의당..,seongwoo,2023-10-08T18:30:48Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,정의당은 야당이잖아요 야당답게 싸워라,다구,2023-10-08T14:05:15Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,이재명은?,재성 신,2023-10-08T09:43:53Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,에이고.수정아!시집이나제대로간거냐?,Yeye,2023-10-08T06:37:06Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,맛습니다 범죄자을 감옥사는놈을 빼내서 다시그자리 앉혀놓고 뭐어쩌자고 4십억은 누구개이름이냐 해도해도 넘한다 나라을 범죄자들만체우고 조작과사기 범조자들 검건희는 수사 안하니특검해서 탄핵하고 감옥으로,김정심,2023-10-07T23:30:34Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,정의당이나 국짐이나 다를바 없음,MrKimdongsin,2023-10-07T23:04:39Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,정의당은 아웃,MrKimdongsin,2023-10-07T23:03:55Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,당 바꾸시면 찍어 줄께요,나덕현,2023-10-07T16:11:12Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,정의당 싫어,장영,2023-10-07T15:52:17Z,1
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,국민의정의당 아닌가?ㅋㅋ제2의국짐당,j s,2023-10-07T15:37:46Z,0
이제 강서구에서 선수교체ㅣ정의당 권수정 #정의당 #강서구청장 #권수정,2023-08-29T03:32:56Z,463,김건희 특검 반대한 국짐2중대,강가에서 릴레이,2023-10-07T15:36:58Z,1
