동영상 제목,게시일,영상 좋아요 수,댓글,작성자,댓글 작성일,댓글 좋아요 수
"[시선집중] 진교훈 강서구청장 후보에게 듣다 - 진교훈 더불어민주당 강서구청장 후보, MBC 230925 방송",2023-09-25T01:45:14Z,651,"이죄명을  위한
투표는
나라를  망치는일이다
김태우  후보님이
꼭  승리해야  합니다
민주당  선택하면
나라가  혼란으로  들어갑니다",점순 조,2023-10-09T00:00:18Z,1
"[시선집중] 진교훈 강서구청장 후보에게 듣다 - 진교훈 더불어민주당 강서구청장 후보, MBC 230925 방송",2023-09-25T01:45:14Z,651,김에게 정의를 보여줍시다.진교훈님 당선 응원합니다,dolma chiring,2023-10-07T01:15:17Z,0
"[시선집중] 진교훈 강서구청장 후보에게 듣다 - 진교훈 더불어민주당 강서구청장 후보, MBC 230925 방송",2023-09-25T01:45:14Z,651,진교훈  응원합니다,dolma chiring,2023-10-07T01:13:38Z,0
"[시선집중] 진교훈 강서구청장 후보에게 듣다 - 진교훈 더불어민주당 강서구청장 후보, MBC 230925 방송",2023-09-25T01:45:14Z,651,진교훈후보님. 승리바랍니다.  힘차게응원하겠습니다,혜숙 이,2023-10-06T03:06:31Z,0
"[시선집중] 진교훈 강서구청장 후보에게 듣다 - 진교훈 더불어민주당 강서구청장 후보, MBC 230925 방송",2023-09-25T01:45:14Z,651,응원할게요 꼭승리합니다,오 상훈,2023-10-05T15:06:49Z,0
"[시선집중] 진교훈 강서구청장 후보에게 듣다 - 진교훈 더불어민주당 강서구청장 후보, MBC 230925 방송",2023-09-25T01:45:14Z,651,진짜 관상은 과학인가봐요. 진교훈 관상이 넘 좋네요 💙💙💙,세진,2023-10-04T05:32:40Z,0
"[시선집중] 진교훈 강서구청장 후보에게 듣다 - 진교훈 더불어민주당 강서구청장 후보, MBC 230925 방송",2023-09-25T01:45:14Z,651,4000억벌겠다고??? 뭔일저지를까봐서 겁나요. 진후보님 !!!  까버려요,강화대장군,2023-10-03T04:16:20Z,0
"[시선집중] 진교훈 강서구청장 후보에게 듣다 - 진교훈 더불어민주당 강서구청장 후보, MBC 230925 방송",2023-09-25T01:45:14Z,651,맞아 네버티브 치중하다가 1%로 뒤집히면 진짜 큰일난다 네거티브 피로감 느끼는 사람많으니 부디 살림살이 공약 정책 내세워서 승리하시길...제발 꼭 이겼으면 좋겠다,어멍,2023-10-03T03:52:13Z,0
"[시선집중] 진교훈 강서구청장 후보에게 듣다 - 진교훈 더불어민주당 강서구청장 후보, MBC 230925 방송",2023-09-25T01:45:14Z,651,"기울어진 방송 
편향적인 보도 
맛을 잃은 소금  문 닫아야",하바람,2023-10-02T10:25:42Z,0
"[시선집중] 진교훈 강서구청장 후보에게 듣다 - 진교훈 더불어민주당 강서구청장 후보, MBC 230925 방송",2023-09-25T01:45:14Z,651,압승을해야합니다. 반드시 투표합시다.,한멋,2023-10-02T10:19:25Z,3
"[시선집중] 진교훈 강서구청장 후보에게 듣다 - 진교훈 더불어민주당 강서구청장 후보, MBC 230925 방송",2023-09-25T01:45:14Z,651,강서구민의 희망 진교훈 후보 입니다 진교훈 후보를 압도적으로 당선시켜 주세요,긍정,2023-10-02T00:11:20Z,0
"[시선집중] 진교훈 강서구청장 후보에게 듣다 - 진교훈 더불어민주당 강서구청장 후보, MBC 230925 방송",2023-09-25T01:45:14Z,651,진교훈 강서구청장님 응원합니다 승리하십시요 강서구민의 희망 입니다,긍정,2023-10-01T23:57:35Z,1
"[시선집중] 진교훈 강서구청장 후보에게 듣다 - 진교훈 더불어민주당 강서구청장 후보, MBC 230925 방송",2023-09-25T01:45:14Z,651,40억은  애교 철도부지  개발해서 매년 1천억  터건족과  5살 훈이랑  빼먹겟습니다 대장동으로 1조 넘게 이익인데 우리는  100억 클럽  만들겟습니다,upup power,2023-10-01T22:36:17Z,0
"[시선집중] 진교훈 강서구청장 후보에게 듣다 - 진교훈 더불어민주당 강서구청장 후보, MBC 230925 방송",2023-09-25T01:45:14Z,651,"🗣진교훈~투표조작할수있어니까 개표🧾할때,진교훈씨👨‍👩‍👦‍👦가족들이  👬다🗣밤새도록🌗지켜보세요🙏 😲조작할수있어요 🙏제발🙏🙏🙏",이모님,2023-10-01T14:00:17Z,0
"[시선집중] 진교훈 강서구청장 후보에게 듣다 - 진교훈 더불어민주당 강서구청장 후보, MBC 230925 방송",2023-09-25T01:45:14Z,651,진교훈 후보님 인상도 따뜻해보이고  인격도 휼륭해  보이셔서 너무 좋습니다💙💙💙💙💙💙💙💙💙,카라,2023-10-01T13:22:36Z,2
"[시선집중] 진교훈 강서구청장 후보에게 듣다 - 진교훈 더불어민주당 강서구청장 후보, MBC 230925 방송",2023-09-25T01:45:14Z,651,진교훈 후보님 압승을 기원기도합니다.이번 선거가 윤석열 매국노 정권을  규탄 심판에 시간이 되리라 진심  믿습니다!!!!!!!!!  압~~승  !!!!!!!!!,카라,2023-10-01T13:20:55Z,0
"[시선집중] 진교훈 강서구청장 후보에게 듣다 - 진교훈 더불어민주당 강서구청장 후보, MBC 230925 방송",2023-09-25T01:45:14Z,651,"강서구민의 상식적인 판단을 믿습니다.
진교훈님께 투표합시다!",트레져,2023-10-01T13:06:49Z,2
"[시선집중] 진교훈 강서구청장 후보에게 듣다 - 진교훈 더불어민주당 강서구청장 후보, MBC 230925 방송",2023-09-25T01:45:14Z,651,여러분 진교훈후보는 진짜진짜 진국입니다. 우리 꼭 밀어줍시다.,굽은나무,2023-10-01T12:54:48Z,1
"[시선집중] 진교훈 강서구청장 후보에게 듣다 - 진교훈 더불어민주당 강서구청장 후보, MBC 230925 방송",2023-09-25T01:45:14Z,651,"진교훈 후보를 비롯한 더불어민주당과 그 지지층은 검수완박과 검경수사권 조정으로 인해 발생중인
짭새경찰의 잇다른 근거없는 고소고발 반려/각하 및 불송치와 그 엉터리 형편없는 초동수사와 초동조치의 연속으로 고통받는
민생범죄 피해자와 유가족분들 심정좀 똑바로 판단해주시길.

추가로 민주당은 검찰 정상화가 아닌 짭새경찰 편애를 하고있는 것이다.",장현성,2023-10-01T11:41:06Z,0
"[시선집중] 진교훈 강서구청장 후보에게 듣다 - 진교훈 더불어민주당 강서구청장 후보, MBC 230925 방송",2023-09-25T01:45:14Z,651,"뻔뻔한 후안무치 국짐당 범죄자를 후보를 낸것은 강서구민 자존심을 건드린것임 반듯이 압승으로 윤석열 검찰독재 무능정부 폭정을 막아냅시다
진교훈후보 승리로 갑시다 응원합니다 화이팅",김종환,2023-10-01T06:28:39Z,1
"[LIVE] 강서구를 빛낼 최고의 구원투수, 진교훈 후보님의 승리를 확신합니다",2023-09-06T02:17:42Z,12913,이재명대표님  건강하셔야 해요  사랑합니다,이경희,2023-10-09T08:43:53Z,0
"[LIVE] 강서구를 빛낼 최고의 구원투수, 진교훈 후보님의 승리를 확신합니다",2023-09-06T02:17:42Z,12913,이재명대표님  얼굴뵈니 반갑습니다,석류,2023-10-07T13:05:43Z,0
"[LIVE] 강서구를 빛낼 최고의 구원투수, 진교훈 후보님의 승리를 확신합니다",2023-09-06T02:17:42Z,12913,햐. 듬직 합니다. 진후보님 !!!!,조혜원,2023-10-07T08:23:40Z,0
"[LIVE] 강서구를 빛낼 최고의 구원투수, 진교훈 후보님의 승리를 확신합니다",2023-09-06T02:17:42Z,12913,투표하고 이잼보러갑니다,minsuk jeung,2023-10-07T06:00:07Z,1
"[LIVE] 강서구를 빛낼 최고의 구원투수, 진교훈 후보님의 승리를 확신합니다",2023-09-06T02:17:42Z,12913,승리합시다 !,오기웅,2023-10-03T21:02:58Z,1
"[LIVE] 강서구를 빛낼 최고의 구원투수, 진교훈 후보님의 승리를 확신합니다",2023-09-06T02:17:42Z,12913,진교훈님꼭승리하셔야됩니다 개표하는날잘지켜야합니다,생존,2023-10-03T10:18:32Z,2
"[LIVE] 강서구를 빛낼 최고의 구원투수, 진교훈 후보님의 승리를 확신합니다",2023-09-06T02:17:42Z,12913,믿음이 확 가네...진교훈 후보,Existent Instinct,2023-10-02T22:53:01Z,1
"[LIVE] 강서구를 빛낼 최고의 구원투수, 진교훈 후보님의 승리를 확신합니다",2023-09-06T02:17:42Z,12913,낙선예감,태산,2023-10-02T21:59:02Z,0
"[LIVE] 강서구를 빛낼 최고의 구원투수, 진교훈 후보님의 승리를 확신합니다",2023-09-06T02:17:42Z,12913,약올리네  그렇게라도 하야겠지 ᆢ 겜 명령자 치소서 ᆢ 심판하소서 딸 ᆢ 네 했다 ᆢ 치셨어요 ᆢ 그래ᆢ 이찬수좀 하세요 명령좀 못하게요  ᆢ내가하마 ᆢ 저주쏘는거 보세요 ᆢ 쇄 머리는두고 꼬리만 치세요 ᆢ 기다려봐라 했잖니 아빠도뚜껑 열린다 ᆢ ㅎㅎ,정희 조,2023-10-02T17:21:03Z,0
